Alc-Muy bajo;DA-Muy bajo, WA-Muy bajo
Alc-Muy bajo;DA-Muy bajo, WA-Bajo
Alc-Bajo;DA-Muy bajo, WA-Medio
Alc-Medio;DA-Muy bajo, WA-Alto
Alc-Alto;DA-Muy bajo, WA-Muy alto
Alc-Bajo;DA-Bajo, WA-Muy bajo
Alc-Bajo;DA-Bajo, WA-Bajo
Alc-Medio;DA-Bajo, WA-Medio
Alc-Medio;DA-Bajo, WA-Alto
Alc-Alto;DA-Bajo, WA-Muy alto
Alc-Bajo;DA-Medio, WA-Muy bajo
Alc-Medio;DA-Medio, WA-Bajo
Alc-Medio;DA-Medio, WA-Medio
Alc-Alto;DA-Medio, WA-Alto
Alc-Muy alto;DA-Medio, WA-Muy alto
Alc-Medio;DA-Alto, WA-Muy bajo
Alc-Alto;DA-Alto, WA-Bajo
Alc-Alto;DA-Alto, WA-Medio
Alc-Alto;DA-Alto, WA-Alto
Alc-Muy alto;DA-Alto, WA-Muy alto
Alc-Alto;DA-Muy alto, WA-Muy bajo
Alc-Alto;DA-Muy alto, WA-Bajo
Alc-Muy alto;DA-Muy alto, WA-Medio
Alc-Muy alto;DA-Muy alto, WA-Alto
Alc-Muy alto;DA-Muy alto, WA-Muy alto
