"school","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","freetime","goout","Dalc","Walc","health","absences","G1","G2","G3"
"GP","F","Age-Mayor","U","GT3","A","Medu-ESuperior","Fedu-ESuperior","at_home","teacher","course","mother","TvlT-Medio","StuT-Medio","Fail-Ninguno","yes","no","no","no","yes","yes","no","no","FamR-Muy Bueno","FreeT-Medio",4,1,1,3,4,0,11,11
"GP","F","Age-Joven","U","GT3","T","Medu-EPrimaria","Fedu-EPrimaria","at_home","other","course","father","TvlT-Bajo","StuT-Medio","Fail-Ninguno","no","yes","no","no","no","yes","yes","no","FamR-Excelente","FreeT-Medio",3,1,1,3,2,9,11,11
"GP","F","Age-Muy Joven","U","LE3","T","Medu-EPrimaria","Fedu-EPrimaria","at_home","other","other","mother","TvlT-Bajo","StuT-Medio","Fail-Ninguno","yes","no","no","no","yes","yes","yes","no","FamR-Muy Bueno","FreeT-Medio",2,2,3,3,6,12,13,12
"GP","F","Age-Muy Joven","U","GT3","T","Medu-ESuperior","Fedu-E5toA9no","health","services","home","mother","TvlT-Bajo","StuT-Alto","Fail-Ninguno","no","yes","no","yes","yes","yes","yes","yes","FamR-Bueno","FreeT-Bajo",2,1,1,5,0,14,14,14
"GP","F","Age-Muy Joven","U","GT3","T","Medu-ESecundaria","Fedu-ESecundaria","other","other","home","father","TvlT-Bajo","StuT-Medio","Fail-Ninguno","no","yes","no","no","yes","yes","no","no","FamR-Muy Bueno","FreeT-Medio",2,1,2,5,0,11,13,13
"GP","M","Age-Muy Joven","U","LE3","T","Medu-ESuperior","Fedu-ESecundaria","services","other","reputation","mother","TvlT-Bajo","StuT-Medio","Fail-Ninguno","no","yes","no","yes","yes","yes","yes","no","FamR-Excelente","FreeT-Alto",2,1,2,5,6,12,12,13
"GP","M","Age-Muy Joven","U","LE3","T","Medu-E5toA9no","Fedu-E5toA9no","other","other","home","mother","TvlT-Bajo","StuT-Medio","Fail-Ninguno","no","no","no","no","yes","yes","yes","no","FamR-Muy Bueno","FreeT-Alto",4,1,1,3,0,13,12,13
"GP","F","Age-Joven","U","GT3","A","Medu-ESuperior","Fedu-ESuperior","other","teacher","home","mother","TvlT-Medio","StuT-Medio","Fail-Ninguno","yes","yes","no","no","yes","yes","no","no","FamR-Muy Bueno","FreeT-Muy Bajo",4,1,1,1,2,10,13,13
"GP","M","Age-Muy Joven","U","LE3","A","Medu-ESecundaria","Fedu-E5toA9no","services","other","home","mother","TvlT-Bajo","StuT-Medio","Fail-Ninguno","no","yes","no","no","yes","yes","yes","no","FamR-Muy Bueno","FreeT-Bajo",2,1,1,1,0,15,16,17
"GP","M","Age-Muy Joven","U","GT3","T","Medu-ESecundaria","Fedu-ESuperior","other","other","home","mother","TvlT-Bajo","StuT-Medio","Fail-Ninguno","no","yes","no","yes","yes","yes","yes","no","FamR-Excelente","FreeT-Muy Alto",1,1,1,5,0,12,12,13
"GP","F","Age-Muy Joven","U","GT3","T","Medu-ESuperior","Fedu-ESuperior","teacher","health","reputation","mother","TvlT-Bajo","StuT-Medio","Fail-Ninguno","no","yes","no","no","yes","yes","yes","no","FamR-Bueno","FreeT-Medio",3,1,2,2,2,14,14,14
"GP","F","Age-Muy Joven","U","GT3","T","Medu-E5toA9no","Fedu-EPrimaria","services","other","reputation","father","TvlT-Alto","StuT-Alto","Fail-Ninguno","no","yes","no","yes","yes","yes","yes","no","FamR-Excelente","FreeT-Bajo",2,1,1,4,0,10,12,13
"GP","M","Age-Muy Joven","U","LE3","T","Medu-ESuperior","Fedu-ESuperior","health","services","course","father","TvlT-Bajo","StuT-Bajo","Fail-Ninguno","no","yes","no","yes","yes","yes","yes","no","FamR-Muy Bueno","FreeT-Medio",3,1,3,5,0,12,13,12
"GP","M","Age-Muy Joven","U","GT3","T","Medu-ESuperior","Fedu-ESecundaria","teacher","other","course","mother","TvlT-Medio","StuT-Medio","Fail-Ninguno","no","yes","no","no","yes","yes","yes","no","FamR-Excelente","FreeT-Alto",3,1,2,3,0,12,12,13
"GP","M","Age-Muy Joven","U","GT3","A","Medu-E5toA9no","Fedu-E5toA9no","other","other","home","other","TvlT-Bajo","StuT-Alto","Fail-Ninguno","no","yes","no","no","yes","yes","yes","yes","FamR-Muy Bueno","FreeT-Muy Alto",2,1,1,3,0,14,14,15
"GP","F","Age-Muy Joven","U","GT3","T","Medu-ESuperior","Fedu-ESuperior","health","other","home","mother","TvlT-Bajo","StuT-Bajo","Fail-Ninguno","no","yes","no","no","yes","yes","yes","no","FamR-Muy Bueno","FreeT-Alto",4,1,2,2,6,17,17,17
"GP","F","Age-Muy Joven","U","GT3","T","Medu-ESuperior","Fedu-ESuperior","services","services","reputation","mother","TvlT-Bajo","StuT-Alto","Fail-Ninguno","no","yes","no","yes","yes","yes","yes","no","FamR-Bueno","FreeT-Bajo",3,1,2,2,10,13,13,14
"GP","F","Age-Muy Joven","U","GT3","T","Medu-ESecundaria","Fedu-ESecundaria","other","other","reputation","mother","TvlT-Alto","StuT-Medio","Fail-Ninguno","yes","yes","no","yes","yes","yes","no","no","FamR-Excelente","FreeT-Medio",2,1,1,4,2,13,14,14
"GP","M","Age-Joven","U","GT3","T","Medu-ESecundaria","Fedu-E5toA9no","services","services","course","mother","TvlT-Bajo","StuT-Bajo","Fail-Alto","no","yes","yes","yes","yes","yes","yes","no","FamR-Excelente","FreeT-Muy Alto",5,2,4,5,2,8,8,7
"GP","M","Age-Muy Joven","U","LE3","T","Medu-ESuperior","Fedu-ESecundaria","health","other","home","father","TvlT-Bajo","StuT-Bajo","Fail-Ninguno","no","no","no","yes","yes","yes","yes","no","FamR-Bueno","FreeT-Muy Bajo",3,1,3,5,6,12,12,12
"GP","M","Age-Muy Joven","U","GT3","T","Medu-ESuperior","Fedu-ESecundaria","teacher","other","reputation","mother","TvlT-Bajo","StuT-Medio","Fail-Ninguno","no","no","no","no","yes","yes","yes","no","FamR-Muy Bueno","FreeT-Alto",1,1,1,1,0,12,13,14
"GP","M","Age-Muy Joven","U","GT3","T","Medu-ESuperior","Fedu-ESuperior","health","health","other","father","TvlT-Bajo","StuT-Bajo","Fail-Ninguno","no","yes","yes","no","yes","yes","yes","no","FamR-Excelente","FreeT-Alto",2,1,1,5,0,11,12,12
"GP","M","Age-Muy Joven","U","LE3","T","Medu-ESuperior","Fedu-E5toA9no","teacher","other","course","mother","TvlT-Bajo","StuT-Medio","Fail-Ninguno","no","no","no","yes","yes","yes","yes","no","FamR-Muy Bueno","FreeT-Muy Alto",1,1,3,5,0,12,13,14
"GP","M","Age-Muy Joven","U","LE3","T","Medu-E5toA9no","Fedu-E5toA9no","other","other","reputation","mother","TvlT-Medio","StuT-Medio","Fail-Ninguno","no","yes","no","yes","yes","yes","yes","no","FamR-Excelente","FreeT-Alto",4,2,4,5,2,10,10,10
"GP","F","Age-Muy Joven","R","GT3","T","Medu-E5toA9no","Fedu-ESuperior","services","health","course","mother","TvlT-Bajo","StuT-Alto","Fail-Ninguno","yes","yes","no","yes","yes","yes","yes","no","FamR-Muy Bueno","FreeT-Medio",2,1,1,5,2,10,11,10
