"school";"sex";"age";"address";"famsize";"Pstatus";"Medu";"Fedu";"Mjob";"Fjob";"reason";"guardian";"traveltime";"studytime";"failures";"schoolsup";"famsup";"paid";"activities";"nursery";"higher";"internet";"romantic";"famrel";"freetime";"goout";"Dalc";"Walc";"health";"absences";"G1";"G2";"G3";"Alc"
"GP";"F";"Age-Mayor";"U";"GT3";"A";"Medu-ESuperior";"Fedu-ESuperior";"at_home";"teacher";"course";"mother";"TvlT-Medio";"StuT-Medio";"Fail-Ninguno";"yes";"no";"no";"no";"yes";"yes";"no";"no";"FamR-Muy Bueno";"FreeT-Medio";"GO-Alto";"DA-Muy bajo";"WA-Muy bajo";"HLT-Normal";"ABS-Bastantes";"G1-Suspenso";"G2-Aprobado";"G3-Aprobado";"Alc-Muy bajo"
"GP";"F";"Age-Joven";"U";"GT3";"T";"Medu-EPrimaria";"Fedu-EPrimaria";"at_home";"other";"course";"father";"TvlT-Bajo";"StuT-Medio";"Fail-Ninguno";"no";"yes";"no";"no";"no";"yes";"yes";"no";"FamR-Excelente";"FreeT-Medio";"GO-Medio";"DA-Muy bajo";"WA-Muy bajo";"HLT-Normal";"ABS-Pocas";"G1-Suspenso";"G2-Aprobado";"G3-Aprobado";"Alc-Muy bajo"
"GP";"F";"Age-Muy Joven";"U";"LE3";"T";"Medu-EPrimaria";"Fedu-EPrimaria";"at_home";"other";"other";"mother";"TvlT-Bajo";"StuT-Medio";"Fail-Ninguno";"yes";"no";"no";"no";"yes";"yes";"yes";"no";"FamR-Muy Bueno";"FreeT-Medio";"GO-Bajo";"DA-Bajo";"WA-Medio";"HLT-Normal";"ABS-Bastantes";"G1-Aprobado";"G2-Aprobado";"G3-Aprobado";"Alc-Medio"
"GP";"F";"Age-Muy Joven";"U";"GT3";"T";"Medu-ESuperior";"Fedu-E5toA9no";"health";"services";"home";"mother";"TvlT-Bajo";"StuT-Alto";"Fail-Ninguno";"no";"yes";"no";"yes";"yes";"yes";"yes";"yes";"FamR-Bueno";"FreeT-Bajo";"GO-Bajo";"DA-Muy bajo";"WA-Muy bajo";"HLT-Muy buena";"ABS-Cero";"G1-Notable";"G2-Notable";"G3-Notable";"Alc-Muy bajo"
"GP";"F";"Age-Muy Joven";"U";"GT3";"T";"Medu-ESecundaria";"Fedu-ESecundaria";"other";"other";"home";"father";"TvlT-Bajo";"StuT-Medio";"Fail-Ninguno";"no";"yes";"no";"no";"yes";"yes";"no";"no";"FamR-Muy Bueno";"FreeT-Medio";"GO-Bajo";"DA-Muy bajo";"WA-Bajo";"HLT-Muy buena";"ABS-Cero";"G1-Aprobado";"G2-Aprobado";"G3-Aprobado";"Alc-Muy bajo"
"GP";"M";"Age-Muy Joven";"U";"LE3";"T";"Medu-ESuperior";"Fedu-ESecundaria";"services";"other";"reputation";"mother";"TvlT-Bajo";"StuT-Medio";"Fail-Ninguno";"no";"yes";"no";"yes";"yes";"yes";"yes";"no";"FamR-Excelente";"FreeT-Alto";"GO-Bajo";"DA-Muy bajo";"WA-Bajo";"HLT-Muy buena";"ABS-Bastantes";"G1-Aprobado";"G2-Aprobado";"G3-Aprobado";"Alc-Muy bajo"
"GP";"M";"Age-Muy Joven";"U";"LE3";"T";"Medu-E5toA9no";"Fedu-E5toA9no";"other";"other";"home";"mother";"TvlT-Bajo";"StuT-Medio";"Fail-Ninguno";"no";"no";"no";"no";"yes";"yes";"yes";"no";"FamR-Muy Bueno";"FreeT-Alto";"GO-Alto";"DA-Muy bajo";"WA-Muy bajo";"HLT-Normal";"ABS-Cero";"G1-Aprobado";"G2-Aprobado";"G3-Aprobado";"Alc-Muy bajo"
"GP";"F";"Age-Joven";"U";"GT3";"A";"Medu-ESuperior";"Fedu-ESuperior";"other";"teacher";"home";"mother";"TvlT-Medio";"StuT-Medio";"Fail-Ninguno";"yes";"yes";"no";"no";"yes";"yes";"no";"no";"FamR-Muy Bueno";"FreeT-Muy Bajo";"GO-Alto";"DA-Muy bajo";"WA-Muy bajo";"HLT-Muy Mala";"ABS-Pocas";"G1-Aprobado";"G2-Aprobado";"G3-Aprobado";"Alc-Muy bajo"
"GP";"M";"Age-Muy Joven";"U";"LE3";"A";"Medu-ESecundaria";"Fedu-E5toA9no";"services";"other";"home";"mother";"TvlT-Bajo";"StuT-Medio";"Fail-Ninguno";"no";"yes";"no";"no";"yes";"yes";"yes";"no";"FamR-Muy Bueno";"FreeT-Bajo";"GO-Bajo";"DA-Muy bajo";"WA-Muy bajo";"HLT-Muy Mala";"ABS-Cero";"G1-Notable";"G2-Notable";"G3-Sobresaliente";"Alc-Muy bajo"
"GP";"M";"Age-Muy Joven";"U";"GT3";"T";"Medu-ESecundaria";"Fedu-ESuperior";"other";"other";"home";"mother";"TvlT-Bajo";"StuT-Medio";"Fail-Ninguno";"no";"yes";"no";"yes";"yes";"yes";"yes";"no";"FamR-Excelente";"FreeT-Muy Alto";"GO-Muy bajo";"DA-Muy bajo";"WA-Muy bajo";"HLT-Muy buena";"ABS-Cero";"G1-Aprobado";"G2-Aprobado";"G3-Aprobado";"Alc-Muy bajo"
