"school";"sex";"age";"address";"famsize";"Pstatus";"Medu";"Fedu";"Mjob";"Fjob";"reason";"guardian";"traveltime";"studytime";"failures";"schoolsup";"famsup";"paid";"activities";"nursery";"higher";"internet";"romantic";"famrel";"freetime";"goout";"Dalc";"Walc";"health";"absences";"G1";"G2";"G3";"Alc"
"GP";"F";18;"U";"GT3";"A";4;4;"at_home";"teacher";"course";"mother";2;2;0;"yes";"no";"no";"no";"yes";"yes";"no";"no";4;3;4;"DA-Muy bajo";"WA-Muy bajo";3;4;0;11;11;"Alc-Muy bajo"
"GP";"F";17;"U";"GT3";"T";1;1;"at_home";"other";"course";"father";1;2;0;"no";"yes";"no";"no";"no";"yes";"yes";"no";5;3;3;"DA-Muy bajo";"WA-Muy bajo";3;2;9;11;11;"Alc-Muy bajo"
"GP";"F";15;"U";"LE3";"T";1;1;"at_home";"other";"other";"mother";1;2;0;"yes";"no";"no";"no";"yes";"yes";"yes";"no";4;3;2;"DA-Bajo";"WA-Medio";3;6;12;13;12;"Alc-Medio"
"GP";"F";15;"U";"GT3";"T";4;2;"health";"services";"home";"mother";1;3;0;"no";"yes";"no";"yes";"yes";"yes";"yes";"yes";3;2;2;"DA-Muy bajo";"WA-Muy bajo";5;0;14;14;14;"Alc-Muy bajo"
"GP";"F";16;"U";"GT3";"T";3;3;"other";"other";"home";"father";1;2;0;"no";"yes";"no";"no";"yes";"yes";"no";"no";4;3;2;"DA-Muy bajo";"WA-Bajo";5;0;11;13;13;"Alc-Muy bajo"
"GP";"M";16;"U";"LE3";"T";4;3;"services";"other";"reputation";"mother";1;2;0;"no";"yes";"no";"yes";"yes";"yes";"yes";"no";5;4;2;"DA-Muy bajo";"WA-Bajo";5;6;12;12;13;"Alc-Muy bajo"
"GP";"M";16;"U";"LE3";"T";2;2;"other";"other";"home";"mother";1;2;0;"no";"no";"no";"no";"yes";"yes";"yes";"no";4;4;4;"DA-Muy bajo";"WA-Muy bajo";3;0;13;12;13;"Alc-Muy bajo"
"GP";"F";17;"U";"GT3";"A";4;4;"other";"teacher";"home";"mother";2;2;0;"yes";"yes";"no";"no";"yes";"yes";"no";"no";4;1;4;"DA-Muy bajo";"WA-Muy bajo";1;2;10;13;13;"Alc-Muy bajo"
"GP";"M";15;"U";"LE3";"A";3;2;"services";"other";"home";"mother";1;2;0;"no";"yes";"no";"no";"yes";"yes";"yes";"no";4;2;2;"DA-Muy bajo";"WA-Muy bajo";1;0;15;16;17;"Alc-Muy bajo"
"GP";"M";15;"U";"GT3";"T";3;4;"other";"other";"home";"mother";1;2;0;"no";"yes";"no";"yes";"yes";"yes";"yes";"no";5;5;1;"DA-Muy bajo";"WA-Muy bajo";5;0;12;12;13;"Alc-Muy bajo"
"GP";"F";15;"U";"GT3";"T";4;4;"teacher";"health";"reputation";"mother";1;2;0;"no";"yes";"no";"no";"yes";"yes";"yes";"no";3;3;3;"DA-Muy bajo";"WA-Bajo";2;2;14;14;14;"Alc-Muy bajo"
"GP";"F";15;"U";"GT3";"T";2;1;"services";"other";"reputation";"father";3;3;0;"no";"yes";"no";"yes";"yes";"yes";"yes";"no";5;2;2;"DA-Muy bajo";"WA-Muy bajo";4;0;10;12;13;"Alc-Muy bajo"
"GP";"M";15;"U";"LE3";"T";4;4;"health";"services";"course";"father";1;1;0;"no";"yes";"no";"yes";"yes";"yes";"yes";"no";4;3;3;"DA-Muy bajo";"WA-Medio";5;0;12;13;12;"Alc-Bajo"
"GP";"M";15;"U";"GT3";"T";4;3;"teacher";"other";"course";"mother";2;2;0;"no";"yes";"no";"no";"yes";"yes";"yes";"no";5;4;3;"DA-Muy bajo";"WA-Bajo";3;0;12;12;13;"Alc-Muy bajo"
"GP";"M";15;"U";"GT3";"A";2;2;"other";"other";"home";"other";1;3;0;"no";"yes";"no";"no";"yes";"yes";"yes";"yes";4;5;2;"DA-Muy bajo";"WA-Muy bajo";3;0;14;14;15;"Alc-Muy bajo"
"GP";"F";16;"U";"GT3";"T";4;4;"health";"other";"home";"mother";1;1;0;"no";"yes";"no";"no";"yes";"yes";"yes";"no";4;4;4;"DA-Muy bajo";"WA-Bajo";2;6;17;17;17;"Alc-Muy bajo"
